code_grade_NEG;libelle_grade_neg;code_nomenclature_net_neh;libelle_NET_NEH;libelle_NEG_rempl;libelle_NET_NEH_rempl;code_NETH_rempl;caracteristique
0001;ADMINISTRATEUR HORS CLASSE;TAD2;Administrateur hors classe;ADMINISTRATEUR HORS CLASSE;Administrateur hors classe;TAD2;"DECRETS 87-1097 ET 87-1098 DU 30 12 1987, MODIFIE PAR LE DT:2000-488 DU 2/6/00.. LE DÉCRET N° 2003-666 DU 21 JUILLET 2003 N'APPORTE AUCUNE MODIFICATION POUR CE GRADE AU 25/07/03 (MAIS DATE D'EFFET PRISE EN COMPTE PAR LES COLLECTIVITÉS SUR LES DÉCISIONS) .DÉCRETS N°2013-738 ET 739 DU 12/08/13 MODIFIANT LE DÉCRET N°87-1098 DU 30/12/87: CRÉATION D'UN ÉCHELON SPÉCIAL (HORS ÉCHELLE BBIS); .MODIFIÉ PAR DÉCRET N° 2017-558 DU 14/04/17 ET LE DÉCRET N°2017-85 DU 26/01/17 AVEC CHANGEMENT DES HORS ÉCHELLES AU 01/01/17 ( INDICES BRUTS) , AU 01/02/17( VALEUR DU POINT MAJORÉ) ET AU 01/01/18 ( INDICES BRUTS )..LA REVALORISATION DU 01/01/2018 EST REPORTÉE AU 01/01/2019 PAR DÉCRETS N° 2017-1736 ET 1737 DU 21/12/2017"
0002;ADMINISTRATEUR DE PREMIERE CLASSE;AAD1;;ADMINISTRATEUR;Administrateur;TAD1;DECRETS 87-1097 ET 87-1098 DU 30 12 1987
0003;ADMINISTRATEUR DE DEUXIEME CLASSE;AAD1;;ADMINISTRATEUR;Administrateur;TAD1;DECRETS 87-1097 ET 87-1098 DU 30 12 1987
0004;DIRECTEUR DE CLASSE EXCEPTIONNELLE;;;DIRECTEUR TERRITORIAL;Directeur territorial;TAT3;DECRETS 87-1099 ET 87-1100 DU 30 12 1987
0005;DIRECTEUR TERRITORIAL DE CLASSE NORMALE;;;DIRECTEUR TERRITORIAL;Directeur territorial;TAT3;DECRETS 87-1099 ET 87-1100 DU 30 12 1987
0006;ATTACHE PRINCIPAL;;;ATTACHE PRINCIPAL;Attaché principal;TAT2;DECRETS 87-1099 ET 87-1100 DU 30 12 1987 BIEN QUE LE RESULTAT SOIT JUSTE POUR LES RETRAITES LES COND DE RECL DU 6 IEME ECH NE ST PAS CELLES PREVUES PAR LE TEXTE(*) POUR LES ACTIFS LE TEXTE PREVOIT:-SI ANC < 1 A 6 M : LE 6 IEME ECH DE L'ANC GR (0006) EST RECL AU 6 IEME ECH DU NOUVEAU GR (0511) AVEC UNE ANC MAJOREE DE 6 M - SI ANC >= 1 A 6 M : LE 6 IEME ECH DE L'ANC GR (0006) EST RECL AU 1 IER ECH DU NOUVEAU GR (0510) AVEC L'ANC REDUITE A ZERO (*)DU FAIT DE L'ANC < 6 M NEG NE SAIT PAS ALLER CHERCHER LE GR INF
0007;ATTACHE DE PREMIERE CLASSE;;;ATTACHE;Attaché;TAT1;DECRETS 87-1099 ET 87-1100 DU 30 12 1987 ATTENTION ! ERREUR SUR LE RECLASSEMENT AU 4E ECHELON VOIR LE 0467
0008;ATTACHE DE DEUXIEME CLASSE;;;ATTACHE;Attaché;TAT1;DECRETS 87-1099 ET 87-1100 DU 30 12 1987 ATTENTION ! POUR LE RECLASSEMENT DU 01 08 93 ERREUR SUR LE 9E ECHELON VOIR LE GRADE DE REMPLACEMENT: LE 0469
0009;SECRETAIRE DE MAIRIE TERRITORIALE;;;SECRETAIRE DE MAIRIE;Secrétaire de mairie;TAS1;DECRETS 87-1103 ET 87-1104 DU 30 12 1987
0010;REDACTEUR CHEF;;;REDACTEUR CHEF (ECHELONS PROVISOIRES);;;DECRETS 87-1105 ET 87-1106 DU 30 12 1987
