code;libellé;01/07/2021
BAD1;Non-TIT. / Administrateur
BAD2;Non-TIT. / Administrateur hors classe
BAD3;Non-TIT. / Administrateur général
BAJ1;Non-TIT. / Adjoint administratif
BAJ3;Non-TIT. / Adjoint administratif principal de 2ème classe
BAJ4;Non-TIT. / Adjoint administratif principal de 1ère classe
BAR1;Non-TIT. / Rédacteur
BAR2;Non-TIT. / Rédacteur principal de 2ème classe
BAR3;Non-TIT. / Rédacteur principal de 1ère classe
BAS1;Non-TIT. / Secrétaire de mairie
BAT1;Non-TIT. / Attaché
BAT2;Non-TIT. / Attaché principal
BAT3;Non-TIT. / Directeur territorial
BAT4;Non-TIT. / Attaché hors classe
BAU1;Non-TIT. / Directeur général adjoint des services ou directeur adjoint
BAU2;Non-TIT. / Directeur général des services ou directeur
BAW1;Non-TIT. / Non-titulaire en C.D.I., catégorie C
BAW2;Non-TIT. / Non-titulaire en C.D.I., catégorie B
BAW3;Non-TIT. / Non-titulaire en C.D.I., catégorie A
BAW4;Non-TIT. / Non-titulaire en C.D.I., catégorie A+
BAX1;Non-TIT. / Agent non titulaire sans référence à un cadre d'emplois, cat. C
BAX2;Non-TIT. / Agent non titulaire sans référence à un cadre d'emplois, cat. B
BAX3;Non-TIT. / Agent non titulaire sans référence à un cadre d'emplois, cat. A
BAX4;Non-TIT. / Agent non titulaire sans référence à un cadre d'emplois, cat. A+
BCA1;Non-TIT. / Attaché de conservation du patrimoine
BCA2;Non-TIT. / Attaché principal de conservation du patrimoine
BCB1;Non-TIT. / Bibliothécaire
BCB2;Non-TIT. / Bibliothécaire principal
BCD1;Non-TIT. / Directeur d'établissement d'enseignement artistique de 2ème catégorie
BCD2;Non-TIT. / Directeur d'établissement d'enseignement artistique de 1ère catégorie
BCG1;Non-TIT. / Assistant de conservation
BCG2;Non-TIT. / Assistant de conservation principal de 2ème classe
BCG3;Non-TIT. / Assistant de conservation principal de 1ère classe
BCH1;Non-TIT. / Conservateur
BCH2;Non-TIT. / Conservateur en chef
BCJ1;Non-TIT. / Adjoint territorial du patrimoine
BCJ3;Non-TIT. / Adjoint territorial du patrimoine principal de 2ème classe
BCJ4;Non-TIT. / Adjoint territorial du patrimoine principal de 1ère classe
BCM2;Non-TIT. / Conservateur
BCM3;Non-TIT. / Conservateur en chef
BCP1;Non-TIT. / Professeur d'enseignement artistique de classe normale
BCP2;Non-TIT. / Professeur d'enseignement artistique hors classe
BCS1;Non-TIT. / Assistant d'enseignement artistique
BCS2;Non-TIT. / Assistant d'enseignement artistique principal de 2ème classe
BCS3;Non-TIT. / Assistant d'enseignement artistique principal de 1ère classe
BCW1;Non-TIT. / Non-titulaire en C.D.I., catégorie C
BCW2;Non-TIT. / Non-titulaire en C.D.I., catégorie B
BCW3;Non-TIT. / Non-titulaire en C.D.I., catégorie A
BCW4;Non-TIT. / Non-titulaire en C.D.I., catégorie A+
BCX1;Non-TIT. / Agent non titulaire sans référence à un cadre d'emplois, cat. C
BCX2;Non-TIT. / Agent non titulaire sans référence à un cadre d'emplois, cat. B
BCX3;Non-TIT. / Agent non titulaire sans référence à un cadre d'emplois, cat. A
