,code_grade_NEG,libelle_grade_neg,code_nomenclature_net_neh,libelle_NET_NEH,date_effet,date_fin,indice_brut,rang_echelon,code_etat,libelle_NEG_rempl,libelle_NET_NEH_rempl,code_NETH_rempl,libelle_statut
7554,0221,CONSERVATEUR DE BIBLIOTHEQUE DE PREMIERE CLASSE,TCH2,Conservateur en chef,04SEP1991,31/12/2088,616,1,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
7555,0221,CONSERVATEUR DE BIBLIOTHEQUE DE PREMIERE CLASSE,TCH2,Conservateur en chef,04SEP1991,31/12/2088,661,2,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
7556,0221,CONSERVATEUR DE BIBLIOTHEQUE DE PREMIERE CLASSE,TCH2,Conservateur en chef,04SEP1991,31/12/2088,701,3,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
7557,0221,CONSERVATEUR DE BIBLIOTHEQUE DE PREMIERE CLASSE,TCH2,Conservateur en chef,04SEP1991,31/12/2088,777,4,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
7558,0221,CONSERVATEUR DE BIBLIOTHEQUE DE PREMIERE CLASSE,TCH2,Conservateur en chef,04SEP1991,31/12/2088,852,5,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
7559,0222,CONSERVATEUR DE BIBLIOTHEQUE DEUXIEME CLASSE,,,04SEP1991,31/12/2088,379,1,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
7560,0222,CONSERVATEUR DE BIBLIOTHEQUE DEUXIEME CLASSE,,,04SEP1991,31/12/2088,441,2,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
7561,0222,CONSERVATEUR DE BIBLIOTHEQUE DEUXIEME CLASSE,,,04SEP1991,31/12/2088,499,3,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
7562,0222,CONSERVATEUR DE BIBLIOTHEQUE DEUXIEME CLASSE,,,04SEP1991,31/12/2088,540,4,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
7563,0222,CONSERVATEUR DE BIBLIOTHEQUE DEUXIEME CLASSE,,,04SEP1991,31/12/2088,593,5,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
8102,0244,CONSERVATEUR DE BIBLIOTHEQUE DE DEUXIEME CLASSE,TCH1,Conservateur,04SEP1991,31/12/2088,340,1,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
8103,0244,CONSERVATEUR DE BIBLIOTHEQUE DE DEUXIEME CLASSE,TCH1,Conservateur,04SEP1991,31/12/2088,379,2,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
